playerShort,player,club,leagueCountry,birthday,height,weight,position,games,victories,ties,defeats,goals,yellowCards,yellowReds,redCards,rater1,rater2,refCount,refCountryCount,meanIAT,seIAT,meanExp,seExp,color_rating,meanIAT_nIAT,meanExp_nExp,meanIAT_GameNbr,meanExp_GameNbr
933,1067,51,1,683,184.0,77.0,1,213,97,49,67,4,37,3,1,0.75,1.0,68,17,0.3401379054711027,0.000150884729853696,0.40398850992454516,0.0005859663580006839,5,0.3277219993012401,0.4298125892897576,0.3357285328298729,0.36107130351372113
934,1073,15,2,1345,189.0,85.0,5,177,85,45,47,0,10,0,0,0.0,0.25,78,14,0.3432157260926228,5.45402511307639e-05,0.3986067807269305,0.000225061636579017,1,0.3356093293472739,0.35238164867083693,0.33953115670538925,0.36357091098491734
935,1074,92,0,78,182.0,81.0,2,333,132,88,113,56,8,0,1,1.0,0.75,131,19,0.33824520698286037,0.0032968095236196103,0.40486337882140006,0.013752210497518,5,0.32832803886473283,0.36268753972330586,0.335435847383609,0.3817564614109219
936,231,18,3,994,181.0,78.0,10,191,61,53,77,3,43,1,1,0.0,0.0,53,1,0.3698935941871718,0.00022948964086646402,0.5882973115445439,0.00100164730649311,1,0.369893594187172,0.5882973115445439,0.36989359418717227,0.5882973115445442
937,1068,16,2,65,188.0,76.0,1,169,76,39,54,6,13,0,1,0.0,0.25,104,12,0.33991238088392844,0.000219256366263838,0.36912536632068427,0.000822971285640673,1,0.337398917246618,0.34343375118730735,0.3386492200219252,0.35637210712053685
938,1075,25,2,1252,185.0,82.0,6,55,26,7,22,10,9,1,0,0.0,0.0,44,10,0.33899365436156687,0.00022948964086646402,0.3597926248964638,0.00100164730649311,1,0.3373144387824853,0.3414529797516531,0.33961424033498283,0.3650005298789306
939,1069,36,1,292,183.0,76.0,1,337,154,105,78,6,56,0,7,0.25,0.25,81,24,0.3462940658794359,0.0199824590728871,0.454701972650901,0.100631428582841,2,0.3337520531850191,0.38127289609963616,0.33782083119240525,0.37138942370053346
940,1070,25,2,452,171.0,64.0,0,37,16,6,15,11,9,0,0,0.0,0.0,29,6,0.3431450285793326,5.45402511307639e-05,0.38066480950614917,0.000225061636579017,1,0.3375574559077561,0.3447027333765211,0.34363839083806974,0.38420268483174325
941,232,69,3,1310,184.0,71.0,1,165,54,52,59,4,28,1,1,0.25,0.25,50,6,0.36848381987523227,0.00022948964086646402,0.5924559370815472,0.00100164730649311,2,0.36558866945081625,0.5716958949740374,0.36946638985022057,0.5895575011012119
942,1071,81,0,780,188.0,80.0,1,200,71,48,81,2,34,0,1,0.0,0.25,53,20,0.3422073992581963,9.638668990978081e-06,0.4585216642816437,3.6880224734070796e-05,2,0.32744221531631396,0.3622871265379277,0.3308018783425642,0.38349572931155557
943,1072,89,2,578,194.0,85.0,5,185,75,46,64,0,6,0,0,0.0,0.25,76,15,0.3410421414020833,5.45402511307639e-05,0.39875491904362625,0.000225061636579017,2,0.33550968480435345,0.3530252284220613,0.3386107262210562,0.37312319746184697
944,1079,28,2,696,174.0,73.0,7,217,74,60,83,9,37,1,0,0.0,0.0,72,17,0.3420629269387925,0.00145826930315516,0.4067581196853334,0.00834273702627968,1,0.32795171988752864,0.45531228390416195,0.345648610867204,0.4112055086543278
945,1076,16,2,1239,186.0,82.0,1,167,76,36,55,11,24,1,1,0.0,0.0,104,1,0.33662816264272116,5.45402511307639e-05,0.33596689240030053,0.000225061636579017,1,0.33662816264272166,0.33596689240030103,0.3366281626427208,0.3359668924003006
946,1078,90,2,305,184.0,75.0,7,366,163,79,124,22,23,1,0,0.25,0.25,75,20,0.34368967638212194,9.83213148637282e-05,0.40038497345747565,0.000404579006949242,2,0.33875973777374585,0.35814579102954186,0.33828895958203437,0.3511995242521274
947,1077,16,2,979,181.0,74.0,7,261,149,60,52,4,31,1,1,0.0,0.0,89,25,0.34707619406667406,0.00361458209483825,0.4381952289864608,0.0210609399561913,1,0.3354717450183624,0.3638043642987355,0.34095963796069106,0.38071191895426904
948,1080,38,2,181,191.0,89.0,8,327,145,76,106,30,32,0,0,0.0,0.0,97,35,0.3522918829957483,9.83213148637282e-05,0.48119853812312346,0.000404579006949242,1,0.329635928981057,0.442489877336579,0.3425362024575965,0.3911753977611427
949,233,19,3,358,192.0,81.0,1,25,12,5,8,0,7,0,1,0.5,0.5,22,2,0.37058398301725143,0.00022948964086646402,0.6006215521553466,0.00100164730649311,3,0.37010810824846724,0.59206911062155,0.3705011363576418,0.5991426432820502
